bed_type,count,hospital
Neonatal Intensive Care Beds,14,BronxCare Hospital Center
Neonatal Intermediate Care Beds,20,BronxCare Hospital Center
Pediatric Beds,25,BronxCare Hospital Center
Pediatric ICU Beds,5,BronxCare Hospital Center
Total Beds,415,BronxCare Hospital Center
AIDS Beds,5,Brooklyn Hospital Center - Downtown Campus
Chemical Dependence - Detoxification Beds,10,Brooklyn Hospital Center - Downtown Campus
Coronary Care Beds,6,Brooklyn Hospital Center - Downtown Campus
Intensive Care Beds,24,Brooklyn Hospital Center - Downtown Campus
Maternity Beds,42,Brooklyn Hospital Center - Downtown Campus
Medical / Surgical Beds,311,Brooklyn Hospital Center - Downtown Campus
Neonatal Intensive Care Beds,10,Brooklyn Hospital Center - Downtown Campus
Neonatal Intermediate Care Beds,18,Brooklyn Hospital Center - Downtown Campus
Pediatric Beds,22,Brooklyn Hospital Center - Downtown Campus
Pediatric ICU Beds,6,Brooklyn Hospital Center - Downtown Campus
Physical Medicine and Rehabilitation Beds,10,Brooklyn Hospital Center - Downtown Campus
Total Beds,464,Brooklyn Hospital Center - Downtown Campus
Coronary Care Beds,6,Brookdale Hospital Medical Center
Intensive Care Beds,26,Brookdale Hospital Medical Center
Maternity Beds,40,Brookdale Hospital Medical Center
Medical / Surgical Beds,326,Brookdale Hospital Medical Center
Neonatal Continuing Care Beds,10,Brookdale Hospital Medical Center
Neonatal Intensive Care Beds,10,Brookdale Hospital Medical Center
Neonatal Intermediate Care Beds,10,Brookdale Hospital Medical Center
Pediatric Beds,35,Brookdale Hospital Medical Center
Pediatric ICU Beds,6,Brookdale Hospital Medical Center
Psychiatric Beds,61,Brookdale Hospital Medical Center
Total Beds,530,Brookdale Hospital Medical Center
